통계표,계정항목,단위,변환,2023/07/25,2023/07/24,2023/07/21,2023/07/20,2023/07/19,2023/07/18,2023/07/17,2023/07/14,2023/07/13
"1.3.2.1. 시장금리(일별)","  콜금리(1일, 전체거래)","연%","원자료","","3.498","3.481","3.528","3.502","3.510","3.506","3.507","3.514"
"1.3.2.1. 시장금리(일별)","  콜금리(1일, 중개회사거래)","연%","원자료","","3.498","3.481","3.528","3.502","3.510","3.506","3.507","3.514"
"1.3.2.1. 시장금리(일별)","  콜금리(1일, 은행증권금융차입)","연%","원자료","","3.357","3.376","3.444","3.420","3.453","3.441","3.464","3.459"
"1.3.2.1. 시장금리(일별)","KORIBOR(3개월)","연%","원자료","3.73","3.73","3.73","3.73","3.74","3.75","3.76","3.76","3.79"
"1.3.2.1. 시장금리(일별)","KORIBOR(6개월)","연%","원자료","3.79","3.79","3.79","3.79","3.80","3.81","3.81","3.81","3.84"
"1.3.2.1. 시장금리(일별)","KORIBOR(12개월)","연%","원자료","3.84","3.84","3.84","3.84","3.85","3.86","3.87","3.88","3.92"
"1.3.2.1. 시장금리(일별)","CD(91일)","연%","원자료","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75"
"1.3.2.1. 시장금리(일별)","CP(91일)","연%","원자료","4.03","4.03","4.03","4.03","4.03","4.03","4.03","4.03","4.03"
"1.3.2.1. 시장금리(일별)","국민주택채권1종(5년)","연%","원자료","3.878","3.839","3.826","3.809","3.766","3.814","3.823","3.834","3.818"
"1.3.2.1. 시장금리(일별)","국고채(1년)","연%","원자료","3.551","3.548","3.551","3.552","3.542","3.580","3.588","3.592","3.574"
"1.3.2.1. 시장금리(일별)","국고채(2년)","연%","원자료","3.691","3.662","3.655","3.639","3.599","3.638","3.662","3.665","3.650"
"1.3.2.1. 시장금리(일별)","국고채(3년)","연%","원자료","3.645","3.617","3.602","3.581","3.543","3.596","3.611","3.614","3.602"
"1.3.2.1. 시장금리(일별)","국고채(5년)","연%","원자료","3.643","3.607","3.601","3.581","3.542","3.609","3.619","3.631","3.610"
"1.3.2.1. 시장금리(일별)","국고채(10년)","연%","원자료","3.684","3.640","3.636","3.606","3.575","3.651","3.660","3.685","3.657"
"1.3.2.1. 시장금리(일별)","국고채(20년)","연%","원자료","3.635","3.595","3.602","3.599","3.597","3.644","3.633","3.650","3.622"
"1.3.2.1. 시장금리(일별)","국고채(30년)","연%","원자료","3.632","3.594","3.603","3.588","3.584","3.634","3.612","3.621","3.588"
"1.3.2.1. 시장금리(일별)","국고채(50년)","연%","원자료","3.607","3.570","3.579","3.564","3.558","3.606","3.586","3.596","3.563"
"1.3.2.1. 시장금리(일별)","통안증권(91일)","연%","원자료","3.586","3.585","3.586","3.580","3.577","3.590","3.595","3.601","3.608"
"1.3.2.1. 시장금리(일별)","통안증권(1년)","연%","원자료","3.598","3.590","3.592","3.599","3.572","3.586","3.597","3.600","3.584"
"1.3.2.1. 시장금리(일별)","통안증권(2년)","연%","원자료","3.694","3.663","3.653","3.642","3.605","3.644","3.661","3.670","3.658"
"1.3.2.1. 시장금리(일별)","산금채(1년)","연%","원자료","3.809","3.808","3.809","3.811","3.781","3.801","3.814","3.825","3.815"
"1.3.2.1. 시장금리(일별)","회사채(3년, AA-)","연%","원자료","4.435","4.410","4.399","4.379","4.341","4.398","4.414","4.420","4.408"
"1.3.2.1. 시장금리(일별)","회사채(3년, BBB-)","연%","원자료","10.830","10.801","10.790","10.771","10.732","10.787","10.801","10.808","10.798"
"1.3.2.1. 시장금리(일별)","회사채(3년, AA-, 민평)","연%","원자료","","4.409","4.393","4.377","4.337","4.394","4.404","4.417","4.406"
"1.3.2.1. 시장금리(일별)","MMF(7일)","연%","원자료","","3.73","3.73","3.75","3.75","3.75","3.75","3.75","3.76"
"1.3.2.1. 시장금리(일별)","CMA(수시형)","연%","원자료","","2.97","2.97","2.97","2.97","2.97","2.97","2.97","2.97"
